"Tipo de Gestion","Modalidad","Número","Año","Objeto","Descripción","Rubros|SubRubros","Moneda del pliego","Monto Original","Organismo Licitante","Organismos Comitentes","Fecha y Hora de Apertura","Lugar de Apertura","Moneda del pliego","Valor del Pliego   ","Expedientes","Enlaces Documentacion","Estado de la Gestion","Fecha de Último Estado"
"LICITACIÓN PÚBLICA","Sin Modalidad","12",2018,"ADQUISICION MEDICAMENTOS PARA  PACIENTES CRONICOS DE ESTE S.A.M.CO RAFAELA  POR CUENTA Y ORDEN DEL MINISTERIO DE SALUD","LICITACION PUBLICA","PROD.MEDICINALES-PROD.QUIM.-INSUMOS P/ENV.MEDICINALES/PRODUCTOS MEDICINALES PARA USO HUMANO","PESOS",1105000,"HOSPITAL SAMCO DR. JAIME FERRÉ","HOSPITAL SAMCO DR. JAIME FERRÉ","28-06-2018 10:00 hs.","SECCION PATRIMONIO, COMPRAS Y SUMINISTROS HOSPITAL SAMCO DR. JAIME FERRÉ","PESOS","$    442.00",,"https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=121096&contar=1&solodocs=1","EN TRAMITE","28-06-2018 23:20 hs."
"LICITACIÓN PÚBLICA","Sin Modalidad","12",2018,"ADQUISICIÓN DE CATÉTERES PARA MEDICIÓN DE PRESIÓN INTRACRANEANA PARA EL SERVICIO DE U.T.I.","ADQUISICIÓN DE CATÉTERES PARA MEDICIÓN DE PRESIÓN INTRACRANEANA PARA EL SERVICIO DE U.T.I.","PROD.MEDICINALES-PROD.QUIM.-INSUMOS P/ENV.MEDICINALES/PRODUCTOS MEDICINALES PARA USO HUMANO","PESOS","1171677,16","HOSPITAL DR. JOSE MARÍA CULLEN","HOSPITAL DR. JOSE MARÍA CULLEN","26-07-2018 10:00 hs.","DIVISIÓN COMPRAS HOSPITAL DR. JOSÉ MARIA CULLEN, AV. FREYRE Nº 2150, 1º PISO . CP. 3000 - SANTA FE","PESOS","$ 469.-","2014/2018","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=121187&contar=1&solodocs=1","EN TRAMITE","26-07-2018 23:20 hs."
"LICITACIÓN PÚBLICA","Sin Modalidad","12",2018,"CONTRATAR LA PROVISION DE GASES MEDICINALES PARA EL TERMINO DE UN AÑO CON RENOVACION POR UN PERIODO IGUAL",,"PROD.MEDICINALES-PROD.QUIM.-INSUMOS P/ENV.MEDICINALES/PRODUCTOS MEDICINALES PARA USO HUMANO","PESOS",5500000,"HOSPITAL PROVINCIAL DE ROSARIO","HOSPITAL PROVINCIAL DE ROSARIO","28-08-2018 10:00 hs.","OFICINA DE COMPRAS DEL HOSPITAL PROVINCIAL DE ROSARIO","PESOS","$  2.200.- (PESOS DOS MIL DOSCIENTOS)","1757/2018","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=121331&contar=1&solodocs=1","EN TRAMITE","28-08-2018 23:20 hs."
"LICITACIÓN PRIVADA","Sin Modalidad","12",2018,"CTRO DE PEDIDO: FARMACIA- BEVACIZUMAB","BEVACIZUMAB 400 MG Y 100 MG ","PROD.MEDICINALES-PROD.QUIM.-INSUMOS P/ENV.MEDICINALES/PRODUCTOS MEDICINALES PARA USO HUMANO","PESOS",150000,"HOSPITAL CENTENARIO ROSARIO","HOSPITAL CENTENARIO ROSARIO","25-01-2018 10:00 hs.","OFICINA DE COMPRAS","PESOS","SON PESOS SESENTA CON 00/100 ($ 60.-)","237/2018","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=120646&contar=1&solodocs=1","CONCLUIDA","22-08-2018 17:30 hs."
"LICITACIÓN PRIVADA","Sin Modalidad","12",2018,"ADQUISICION DE UNA (1) IMPRESORA LASER A3 COLOR Y UN (1) KIT DE CONSUMIBLES PARA DICHA IMPRESORA CON DESTINO A LA SECRETARIA DE TECNOLOGIAS PARA LA GESTION DEPENDIENTE DEL MINISTERIO DE GOBIERNO Y REFORMA DEL ESTADO","ADQUISICION DE UNA (1) IMPRESORA Y UN (1) KIT DE CONSUMIBLES","INFORMATICA/EQUIPOS E INSUMOS DE COMPUTACION","PESOS",246600,"SUBSECRETARÍA DE CONTRATACIONES Y GESTIÓN DE BIENES","MINISTERIO DE GOBIERNO Y REFORMA DEL ESTADO (DIR. ADM.)","16-02-2018 11:00 hs.","SUBSECRETARIA DE CONTRATACIONES Y GESTION DE BIENES, MENDOZA 2905, SANTA FE, SANTA FE","PESOS","$ 100","00108-0008964-8","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=120698&contar=1&solodocs=1","CONCLUIDA","05-06-2018 00:00 hs."
"LICITACIÓN PRIVADA","Sin Modalidad","12",2018,"""ADQUISICIÓN DE FORMULAS LACTEAS I""","""ADQUISICIÓN DE FORMULAS LACTEAS I""","VIVERES/LACTEOS Y AFINES|  PROD.MEDICINALES-PROD.QUIM.-INSUMOS P/ENV.MEDICINALES/PRODUCTOS MEDICINALES PARA USO HUMANO","PESOS",900000,"HOSPITAL DE NIÑOS DR. ORLANDO ALASSIA","HOSPITAL DE NIÑOS DR. ORLANDO ALASSIA","28-02-2018 11:00 hs.","OFICINA DE LICITACIONES - HOSPITAL DE NIÑOS DR. O. ALASSIA","PESOS","$ 360,00 (SON PESOS TRESCIENTOS SESENTA CON 00/00)",,"https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=120731&contar=1&solodocs=1","CONCLUIDA","16-04-2018 09:23 hs."
"LICITACIÓN PRIVADA","Sin Modalidad","12",2018,"ADQUISICIÓN DE SOLUCIONES ANTISÉPTICAS Y DROGAS PURAS PARA EL SERVICIO DE FARMACIA CENTRAL","ADQUISICIÓN DE SOLUCIONES ANTISÉPTICAS Y DROGAS PURAS PARA EL SERVICIO DE FARMACIA CENTRAL","PROD.MEDICINALES-PROD.QUIM.-INSUMOS P/ENV.MEDICINALES/PRODUCTOS MEDICINALES PARA USO HUMANO|  PROD.MEDICINALES-PROD.QUIM.-INSUMOS P/ENV.MEDICINALES/PROD.MEDICINALES-PROD.QUIM.-INSUMOS P/ENV.MEDICINALES|  EQUIP.MEDICO P/HOSPITALES Y CENTROS SANITARIOS/EQUIPOS, INSTRUMENTAL E INSUMOS MEDICOS","PESOS","712231,82","HOSPITAL DR. JOSE MARÍA CULLEN","HOSPITAL DR. JOSE MARÍA CULLEN","14-05-2018 10:00 hs.","DIVISIÓN COMPRAS HOSPITAL DR. JOSÉ MARÍA CULLEN, AV. FREYRE Nº 2150, 1º PISO - CP 3000 (SANTA FE)","PESOS","$   285.-","1167/2018","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=120912&contar=1&solodocs=1","EN TRAMITE","14-05-2018 23:20 hs."
"LICITACIÓN PRIVADA","Sin Modalidad","12",2018,"ADQUISICION DE ARTICULOS DE LIBRERIA PARA UN PERIODO DE 3 (TRES) MESES",,"LIBRERIA/ARTICULOS DE LIBRERIA","PESOS",250000,"HOSPITAL PROVINCIAL DE ROSARIO","HOSPITAL PROVINCIAL DE ROSARIO","03-05-2018 10:00 hs.","HOSPITAL PROVINCIAL DE ROSARIO - OFICINA DE COMPRAS","PESOS","SON PESOS: $ 100 (CIEN)","821/18","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=120919&contar=1&solodocs=1","CONCLUIDA","16-07-2018 10:03 hs."
"LICITACIÓN PRIVADA","Sin Modalidad","12",2018,"ADQUISICION EN COMODATO DE UN CONTADOR HEMATOLOGICO LASER, CON DESTINO AL SERVICIO DE LABORATORIO CENTRAL DEL HOSPITAL J.B. ITURRASPE. PARA 12 MESES, CON OPCION A PRORROGA POR UN PERIODO MAS, IGUAL.",,"EQUIP.MEDICO P/HOSPITALES Y CENTROS SANITARIOS/EQUIPOS-UTILES-INSUMOS PARA LABORATORIO","PESOS",360000,"HOSPITAL J.B. ITURRASPE","HOSPITAL J.B. ITURRASPE","09-05-2018 10:00 hs.","HOSPITAL J.B.ITURRASPE - BV PELLEGRINI 3551 - 1° PISO - DIVICION COMPRAS Y SUMINISTROS","PESOS","$ 260",,"https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=120941&contar=1&solodocs=1","CONCLUIDA","07-08-2018 11:39 hs."
"LICITACIÓN PRIVADA","Sin Modalidad","12",2018,"HARINA TIPO 000","ADQUISICIÓN DE 875 BOLSAS DE HARINA TIPO 000 X 50 KG C/U","VIVERES/PANIFICACION|  VIVERES/HARINAS","PESOS",500000,"INSTITUTO AUTÁRQUICO PROVINCIAL DE INDUSTRIAS PENITENCIARIAS","INSTITUTO AUTÁRQUICO PROVINCIAL DE INDUSTRIAS PENITENCIARIAS","26-06-2018 09:00 hs.","COMPRAS IAPIP","PESOS","200","12101-0004284-9","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=121140&contar=1&solodocs=1","EN TRAMITE","26-06-2018 23:20 hs."
"LICITACIÓN PRIVADA","Sin Modalidad","12",2018,"CONTRATACIÓN SERVICIO MOVILIDAD PARA ATENCIÓN PRIMARIA - NODO DE SALUD SANTA FE","CONTRATACIÓN SERVICIO MOVILIDAD PARA ATENCIÓN PRIMARIA - NODO DE SALUD SANTA FE","VEHICULOS-EMBARCACIONES-INSUMOS-REPUESTOS/VEHICULOS","PESOS",714000,"HOSPITAL PSIQUIATRICO EMILIO MIRA Y LOPEZ","HOSPITAL PSIQUIATRICO EMILIO MIRA Y LOPEZ","20-07-2018 07:30 hs.","OFICINA CONTABLE - HOSPITAL GENERAL POLIVALENTE DR. EMILIO MIRA Y LÓPEZ - BLAS PARERA 8430 - 1º PISO","PESOS","PLIEGO: $  285,60 (DOSCIENTOS OCHENTA Y CINCO CON 60/100) ",,"https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=121192&contar=1&solodocs=1","EN TRAMITE","20-07-2018 23:20 hs."
"LICITACIÓN PRIVADA","Sin Modalidad","12",2018,"ADQUISICION REACTIVOS LABORATORIO",,"EQUIP.MEDICO P/HOSPITALES Y CENTROS SANITARIOS/EQUIPOS-UTILES-INSUMOS PARA LABORATORIO","PESOS",160000,"HOSPITAL SAMCO DR. JAIME FERRÉ","HOSPITAL SAMCO DR. JAIME FERRÉ","20-07-2018 08:30 hs.","SECCIÓN COMPRAS Y SUMINISTROS","PESOS","$  64.00",,"https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=121196&contar=1&solodocs=1","EN TRAMITE","20-07-2018 23:20 hs."
"CONTRATACIÓN DIRECTA","Sin Modalidad","12",2018,"ADQ. SMART TV FULL HD 49""",,"ELECTRODOM.-ART. Y EQUIP.P/EL HOGAR-REPUESTOS/ELECTRODOMESTICOS|  ELECTRODOM.-ART. Y EQUIP.P/EL HOGAR-REPUESTOS/ARTICULOS Y EQUIPAMIENTO PARA EL HOGAR|  ELECTRODOM.-ART. Y EQUIP.P/EL HOGAR-REPUESTOS/ELECTRODOM.-ART. Y EQUIP.P/EL HOGAR-REPUESTOS","PESOS",50000,"INSTITUTO AUTÁRQUICO PROVINCIAL DE OBRA SOCIAL","INSTITUTO AUTÁRQUICO PROVINCIAL DE OBRA SOCIAL","19-03-2018 12:30 hs.","I.A.P.O.S. - DPTO. CONTRATACIONES - SAN MARTÍN 3145 - C.P. 3000 - SANTA FE","PESOS",,"15301-0209727-3","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=120796&contar=1&solodocs=1","EN TRAMITE","19-03-2018 23:20 hs."
"CONTRATACIÓN DIRECTA","Sin Modalidad","12",2018,"LECHE MATERNIZADA Y ALIMENTACIÓN PARENTERAL",,"PROD.MEDICINALES-PROD.QUIM.-INSUMOS P/ENV.MEDICINALES/PRODUCTOS MEDICINALES PARA USO HUMANO","PESOS",45000,"HOSPITAL PROTOMÉDICO MANUEL RODRIGUEZ","HOSPITAL PROTOMÉDICO MANUEL RODRIGUEZ","22-06-2018 10:00 hs.",,"PESOS",,"5127","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=121131&contar=1&solodocs=1","CONCLUIDA","24-07-2018 09:49 hs."
"LICITACIÓN PÚBLICA","Sin Modalidad","13",2018,"PROVISIÓN, INSTALACION Y PUESTA EN FUNCIONAMIENTO DE DOS (2) CHASIS BLADE CON DESTINO A LA SECRETARIA DE TECNOLOGIAS PARA LA GESTION DEPENDIENTE DEL MINISTERIO DE GOBIERNO Y REFORMA DEL ESTADO","PROV., INST.Y PUESTA EN FUNC. DE DOS (2) CHASIS BLADE","INFORMATICA/EQUIPOS E INSUMOS DE COMPUTACION","PESOS",13600000,"SUBSECRETARÍA DE CONTRATACIONES Y GESTIÓN DE BIENES","MINISTERIO DE GOBIERNO Y REFORMA DEL ESTADO (DIR. ADM.)","03-04-2018 10:00 hs.","SUBSECRETARIA DE CONTRATACIONES Y GESTION DE BIENES, MENDOZA 2905, SANTA FE, SANTA FE","PESOS","$ 5440","00108-0009156-2","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=120742&contar=1&solodocs=1","CONCLUIDA","13-08-2018 00:00 hs."
"LICITACIÓN PÚBLICA","Sin Modalidad","13",2018,"CTRO DE PEDIDO: FARMACIA- MEDICAMENTOS","MEDICAMENTOS PARA TRES MESES","PROD.MEDICINALES-PROD.QUIM.-INSUMOS P/ENV.MEDICINALES/PRODUCTOS MEDICINALES PARA USO HUMANO","PESOS",15805000,"HOSPITAL CENTENARIO ROSARIO","HOSPITAL CENTENARIO ROSARIO","28-05-2018 10:00 hs.","OFICINA DE COMPRAS","PESOS","SON PESOS SEIS MIL TRESCIENTOS VEINTIDOS CON 00/100 ($ 6322.-)","1301/2018","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=120970&contar=1&solodocs=1","CONCLUIDA","15-08-2018 17:17 hs."
"LICITACIÓN PÚBLICA","Sin Modalidad","13",2018,"ADQUISICIÓN DE MEDICAMENTOS Y DROGAS MADRES",,"PROD.MEDICINALES-PROD.QUIM.-INSUMOS P/ENV.MEDICINALES/PRODUCTOS MEDICINALES PARA USO HUMANO","PESOS",6500000,"HOSPITAL DR. ALEJANDRO GUTIERREZ - VENADO TUERTO","HOSPITAL DR. ALEJANDRO GUTIERREZ - VENADO TUERTO","07-06-2018 09:00 hs.","COMPRAS","PESOS","$ 2600",,"https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=121010&contar=1&solodocs=1","EN TRAMITE","07-06-2018 23:20 hs."
"LICITACIÓN PÚBLICA","Sin Modalidad","13",2018,"ADQUISICION: COMODATO DE 35 BOMBAS DE JERINGAS CON SUS RESPECTIVOS SETS - POR 12 MESES Y C/12 ENTREGAS MENSUALES, CON OPCION A PRORROGA POR UN PERIODO IGUAL MAS",,"PROD.MEDICINALES-PROD.QUIM.-INSUMOS P/ENV.MEDICINALES/PRODUCTOS MEDICINALES PARA USO HUMANO|  PROD.MEDICINALES-PROD.QUIM.-INSUMOS P/ENV.MEDICINALES/PROD.MEDICINALES-PROD.QUIM.-INSUMOS P/ENV.MEDICINALES","PESOS",1050000,"HOSPITAL J.B. ITURRASPE","HOSPITAL J.B. ITURRASPE","04-06-2018 10:00 hs.","HOSPITAL J. B. ITURRASPE - BV. PELLEGRINI 3551 - 1° PISO OFICINA DE COMPRAS Y SUMINISTRO","PESOS","$ 420,00","000110","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=121039&contar=1&solodocs=1","EN TRAMITE","04-06-2018 23:20 hs."
"LICITACIÓN PÚBLICA","Sin Modalidad","13",2018,"ADQUISICIÓN DE EQUIPAMIENTO DE FONOAUDIOLOGIA.","ADQUISICIÓN DE EQUIPAMIENTO DE FONOAUDIOLOGIA CON DESTINO AL CEMAFE.","EQUIP.MEDICO P/HOSPITALES Y CENTROS SANITARIOS/EQUIPOS, INSTRUMENTAL E INSUMOS MEDICOS|  EQUIP.MEDICO P/HOSPITALES Y CENTROS SANITARIOS/EQUIPOS E INSUMOS PARA FONUDIOLOGIA","PESOS",1070000,"MINISTERIO DE SALUD (DIR.GRAL.ADM.)","CEMAFE - CENTRO ESPECIALIDADES MÉDICAS AMBULATORIAS SANTA FE","25-06-2018 10:00 hs.","MINISTERIO DE SALUD – DPTO DE COMPRAS JUNA DE GARAY 2880 – 3000  STA FE. TEL.: (0342) 4572360/61- – INTERNOS 3121 - 3122 CORREO ELECTRÓNICO: COMPRASALUDSTAFE@SANTAFE.GOV.AR SITIO WEB: WWW.SANTAFE.GOV.AR","PESOS","$  430,00","00501-0159348-0","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=121059&contar=1&solodocs=1","EN TRAMITE","25-06-2018 23:20 hs."
"LICITACIÓN PÚBLICA","Sin Modalidad","13",2018,"ADQUISICIÓN DESCARTABLES  E INSUMOS RADIOLOGÍA PARA EL S.A.M.CO RAFAELA “DR. J. FERRÉ” Y CENTROS APS DEPENDIENTES DEL MISMO PARA EL LAPSO DE 60 DÍAS CON DOS ENTREGAS ",,"EQUIP.MEDICO P/HOSPITALES Y CENTROS SANITARIOS/EQUIPOS, REPUESTOS E INSUMOS DE RAYOS X|  EQUIP.MEDICO P/HOSPITALES Y CENTROS SANITARIOS/MATERIAL DESCARTABLE","PESOS",1600000,"HOSPITAL SAMCO DR. JAIME FERRÉ","HOSPITAL SAMCO DR. JAIME FERRÉ","25-07-2018 08:30 hs.","SECCION COMPRAS Y SUMINISTROS","PESOS","$  640",,"https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=121210&contar=1&solodocs=1","EN TRAMITE","25-07-2018 23:20 hs."
"LICITACIÓN PÚBLICA","Sin Modalidad","13",2018,"ADQUISICIÓN DE MATERIAL DESCARTABLE PARA EL SERVICIO DE ESTERILIZACIÓN.-","ADQUISICIÓN DE MATERIAL DESCARTABLE PARA EL SERVICIO DE ESTERILIZACIÓN.-","EQUIP.MEDICO P/HOSPITALES Y CENTROS SANITARIOS/MATERIAL DESCARTABLE","PESOS",7438919,"HOSPITAL DR. JOSE MARÍA CULLEN","HOSPITAL DR. JOSE MARÍA CULLEN","14-08-2018 10:00 hs.","DIVISIÓN COMPRAS HOSPITAL DR. JOSÉ MARÍA CULLEN, AV. FREYRE Nº 2150, 1º PISO - CP. 3000 - SANTA FE","PESOS","$  2.976.-","3056","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=121256&contar=1&solodocs=1","EN TRAMITE","14-08-2018 23:20 hs."
"LICITACIÓN PÚBLICA","Sin Modalidad","13",2018,"ADQUIRIR SUTURAS MECANICAS PARA EL SERVICIO DE CIRUGIA PARA UN PERIODO DE 3 (TRES) MESES",,"EQUIP.MEDICO P/HOSPITALES Y CENTROS SANITARIOS/MATERIAL DESCARTABLE","PESOS",1200000,"HOSPITAL PROVINCIAL DE ROSARIO","HOSPITAL PROVINCIAL DE ROSARIO","31-08-2018 10:00 hs.","HOSPITAL PROVINCIAL DE ROSARIO - OFICINA DE COMPRAS","PESOS","$ 480.- SON PESOS: CUATROCIENTOS OCHENTA","1765/18","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=121334&contar=1&solodocs=1","EN TRAMITE","31-08-2018 23:20 hs."
"LICITACIÓN PRIVADA","Sin Modalidad","13",2018,"CTRO DE PEDIDO: FARMACIA - INTERFERON BETA","INTERFERON BETA 1B","PROD.MEDICINALES-PROD.QUIM.-INSUMOS P/ENV.MEDICINALES/PRODUCTOS MEDICINALES PARA USO HUMANO","PESOS",125000,"HOSPITAL CENTENARIO ROSARIO","HOSPITAL CENTENARIO ROSARIO","25-01-2018 11:00 hs.","OFICINA DE COMPRAS","PESOS","SON PESOS CINCUENTA CON 00/100 ($ 50.-)","238/2018","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=120647&contar=1&solodocs=1","CONCLUIDA","22-08-2018 17:35 hs."
"LICITACIÓN PRIVADA","Sin Modalidad","13",2018,"ADQUISICION DE CUATRO MIL (4.000) FRAZADAS CON DESTINO A LA SECRETARIA DE DESARROLLO TERRITORIAL DEPENDIENTE DEL MINISTERIO DE DESARROLLO SOCIAL","ADQUISICION DE FRAZADAS","ARTICULOS DE BLANCO/ARTICULOS DE BLANCO","PESOS",880000,"SUBSECRETARÍA DE CONTRATACIONES Y GESTIÓN DE BIENES","MINISTERIO DE DESARROLLO SOCIAL","20-02-2018 10:00 hs.","SUBSECRETARIA DE CONTRATACIONES Y GESTION DE BIENES, MENDOZA 2905, SANTA FE, SANTA FE","PESOS","$ 350","01501-0088403-4","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=120707&contar=1&solodocs=1","CONCLUIDA","05-06-2018 00:00 hs."
"LICITACIÓN PRIVADA","Sin Modalidad","13",2018,"""ADQUISICION DE INSUMOS DESTINO TRAUMATOLOGIA II""","""ADQUISICION DE INSUMOS DESTINO TRAUMATOLOGIA II""","EQUIP.MEDICO P/HOSPITALES Y CENTROS SANITARIOS/EQUIPO DE TRAUMATOLOGIA Y ORTOPEDIA","PESOS",675000,"HOSPITAL DE NIÑOS DR. ORLANDO ALASSIA","HOSPITAL DE NIÑOS DR. ORLANDO ALASSIA","06-03-2018 10:00 hs.","OFICINA DE LICITACIONES - HOSPITAL DE NIÑOS DR. O. ALASSIA","PESOS","$  270.00 (SON PESOS DOSCIENTOS SETENTA CON 00/00)",,"https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=120758&contar=1&solodocs=1","CONCLUIDA","16-04-2018 09:36 hs."
"LICITACIÓN PRIVADA","Sin Modalidad","13",2018,"ADQUISICION DE MATERIALES PARA SERVICIO DE ESTERILIZACION","MATERIAL DESCARTABLE","EQUIP.MEDICO P/HOSPITALES Y CENTROS SANITARIOS/MATERIAL DESCARTABLE","PESOS",440000,"HOSPITAL DR. ALEJANDRO GUTIERREZ - VENADO TUERTO","HOSPITAL DR. ALEJANDRO GUTIERREZ - VENADO TUERTO","09-03-2018 09:00 hs.","OFICINA DE COMPRAS","PESOS","$ 176",,"https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=120760&contar=1&solodocs=1","EN TRAMITE","09-03-2018 23:20 hs."
"LICITACIÓN PRIVADA","Sin Modalidad","13",2018,"ADQUIRIR TOALLAS DESCARTABLES PARA UN PERIODO DE 6 (SEIS) MESES",,"PRODUCTOS, ELEMENTOS DE LIMPIEZA E HIGIENE PERSONAL/ARTICULOS DE LIMPIEZA","PESOS",600000,"HOSPITAL PROVINCIAL DE ROSARIO","HOSPITAL PROVINCIAL DE ROSARIO","04-05-2018 10:00 hs.","HOSPITAL PROVINCIAL DE ROSARIO - OFICINA DE COMPRAS","PESOS","SON PESOS: $ 240.- (DOSCIENTOS CUARENTA)","822/18","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=120935&contar=1&solodocs=1","CONCLUIDA","18-06-2018 11:05 hs."
"LICITACIÓN PRIVADA","Sin Modalidad","13",2018,"ADQUISICIÓN DE INSUMOS PARA EL SERVICIO DE BANCO DE SANGRE.","ADQUISICIÓN DE INSUMOS PARA EL SERVICIO DE BANCO DE SANGRE.","EQUIP.MEDICO P/HOSPITALES Y CENTROS SANITARIOS/EQUIPOS, INSTRUMENTAL E INSUMOS MEDICOS|  EQUIP.MEDICO P/HOSPITALES Y CENTROS SANITARIOS/EQUIPOS-UTILES-INSUMOS PARA LABORATORIO","DOLAR","213825,25","HOSPITAL DR. JOSE MARÍA CULLEN","HOSPITAL DR. JOSE MARÍA CULLEN","30-05-2018 10:00 hs.","DIVISIÓN COMPRAS HOSPITAL DR. JOSÉ MARÍA CULLEN, AV. FREYRE Nº 2150, 1º PISO - CP 3000 - SANTA FE","DOLAR","$  120.-",,"https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=120944&contar=1&solodocs=1","EN TRAMITE","30-05-2018 23:20 hs."
"LICITACIÓN PRIVADA","Sin Modalidad","13",2018,"SERVICIO ANUAL COMPLETO DE MANTENIMIENTO, PRESURIZACION, CONTROL, PRUEBES HIDRAULICAS, RECARGAS, IDENTIFICACIONES, CERTIFICACIONES Y GARANTIA A EXTINTORES DEL NOSOCOMIO, CON OPCION A PRORROGA POR UN PERIODO IGUAL, MAS  ",,"EQUIPOS Y ELEMENTOS DE SEGURIDAD Y PROTECCION/EQUIPOS Y ELEMENTOS DE SEGURIDAD Y PROTECCION","PESOS",56000,"HOSPITAL J.B. ITURRASPE","HOSPITAL J.B. ITURRASPE","10-05-2018 10:00 hs.","HOSPITAL J. B. ITURRASPE - BV PELEGRINI 3551 - 1° PISO, OFICINA DE COMPRAS Y SUMINISTROS","PESOS","$  260",,"https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=120950&contar=1&solodocs=1","CONCLUIDA","21-05-2018 08:44 hs."
"LICITACIÓN PRIVADA","Sin Modalidad","13",2018,"ADQUISICIÓN DE INSUMOS VARIOS PARA PANADERÍA","VER PLANILLA ANEXA ","VIVERES/PANIFICACION|  VIVERES/VIVERES SECOS","PESOS",350000,"INSTITUTO AUTÁRQUICO PROVINCIAL DE INDUSTRIAS PENITENCIARIAS","INSTITUTO AUTÁRQUICO PROVINCIAL DE INDUSTRIAS PENITENCIARIAS","26-06-2018 09:30 hs.","COMPRAS IAPIP","PESOS","140","12101-0004285-0","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=121141&contar=1&solodocs=1","EN TRAMITE","26-06-2018 23:20 hs."
"LICITACIÓN PRIVADA","Sin Modalidad","13",2018,"ADQUISICIÓN MATERIAL DESCARTABLE PARA ATENCIÓN PRIMARIA - NODO DE SALUD SANTA FE","ADQUISICIÓN MATERIAL DESCARTABLE PARA ATENCIÓN PRIMARIA - NODO DE SALUD SANTA FE","EQUIP.MEDICO P/HOSPITALES Y CENTROS SANITARIOS/MATERIAL DESCARTABLE","PESOS",984750,"HOSPITAL PSIQUIATRICO EMILIO MIRA Y LOPEZ","HOSPITAL PSIQUIATRICO EMILIO MIRA Y LOPEZ","20-07-2018 08:00 hs.","OFICINA CONTABLE - HOSPITAL GENERAL POLIVALENTE DR. EMILIO MIRA Y LOPEZ - BLAS PARERA 8430 - 1ºPISO","PESOS","PLIEGO: $ 393,90",,"https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=121193&contar=1&solodocs=1","EN TRAMITE","20-07-2018 23:20 hs."
"CONTRATACIÓN DIRECTA","Sin Modalidad","13",2018,"ADQ. MATERIALES ELÉCTRICOS",,"ELECTRICIDAD - ILUMINACION/MATERIALES ELECTRICOS|  ELECTRICIDAD - ILUMINACION/ELEMENTOS Y EQUIPOS PARA ILUMINACION|  ELECTRICIDAD - ILUMINACION/ELECTRICIDAD - ILUMINACION","PESOS","24007,77","INSTITUTO AUTÁRQUICO PROVINCIAL DE OBRA SOCIAL","INSTITUTO AUTÁRQUICO PROVINCIAL DE OBRA SOCIAL","23-03-2018 12:30 hs.","I.A.P.O.S. - DPTO. CONTRATACIONES - SAN MARTÍN 3145 - C.P. 3000 - SANTA FE","PESOS",,"15302-0013374-9","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=120817&contar=1&solodocs=1","EN TRAMITE","23-03-2018 23:20 hs."
"CONTRATACIÓN DIRECTA","Sin Modalidad","13",2018,"PAÑALES DESCARTABLES ",,"EQUIP.MEDICO P/HOSPITALES Y CENTROS SANITARIOS/MATERIAL DESCARTABLE","PESOS",35000,"HOSPITAL PROTOMÉDICO MANUEL RODRIGUEZ","HOSPITAL PROTOMÉDICO MANUEL RODRIGUEZ","22-06-2018 11:00 hs.",,"PESOS",,"5132","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=121136&contar=1&solodocs=1","CONCLUIDA","24-07-2018 09:44 hs."
