Marca temporal;Género;Indicá cuál;Edad;Ocupación principal;Indicá cuál;En el último año, tu nivel de uso:;¿Cómo evalúas el estado y mantenimiento de las bicicletas simples? ;Indicá las razones por las que considerás que el estado y mantenimiento de las bicicletas es regular;Indicá las razones por las que considerás que el estado y mantenimiento de las bicicletas es malo;Indicá las razones por las que considerás que el estado y mantenimiento de las bicicletas es muy malo;¿Cómo evalúas la comodidad de las bicicletas simples? ;Indicá las razones por las que considerás que la comodidad de las bicicletas es regular;Indicá las razones por las que considerás que la comodidad de las bicicletas es mala;Indicá las razones por las que considerás que la comodidad de las bicicletas es muy mala;¿Cómo evalúas el funcionamiento general de las estaciones?;Indicá las razones por las que considerás que el funcionamiento de las estaciones es regular;Indicá las razones por las que considerás que el funcionamiento de las estaciones es malo;Indicá las razones por las que considerás que el funcionamiento de las estaciones es muy malo;¿Cómo evalúas las instrucciones para el uso del sistema disponibles en cada estación?;¿En general, cómo evalúas los canales de comunicación disponibles para los usuarios del Sistema de Bicis? ;¿Has utilizado la APP (aplicación gratuita) de Mi Bici Tu Bici? ;La aplicación te ha resultado:;¿Consultas la página web de Mi Bici Tu Bici a la hora de utilizar el sistema?;De bicicletas al momento de su uso;De lugar al momento de devolver la bicicleta ;¿Qué factores te motivan a usar el Sistema de Bicis?;¿Cuál es la actividad principal que motiva tus viajes en el sistema? ;¿Cuál era el principal modo de transporte que utilizabas antes para realizar los viajes que hacés ahora en bicicleta pública? ;¿Has utilizado las bicis dobles (tándem)? ;¿Conocés el sistema de franquicias disponible para trabajadores y estudiantes? ;En una escala de 0 a 10 ¿Cómo valorás el grado de utilidad que tiene para vos el servicio de bicicletas públicas?;En una escala de 0 a 10 ¿Cuál es tu nivel de satisfacción general en relación al servicio?;¿Cuál es la razón principal por la que disminuiste la frecuencia de uso de las bicis públicas o dejaste de usarlas? ;Elija la razón principal a la que atribuye las deficiencias del sistema;¿En qué modo de transporte realizás ahora los viajes que antes hacías con la bicicleta pública? ;¿Has utilizado las bicis dobles (tándem)? ;¿Conocés el sistema de franquicias disponible para trabajadores y estudiantes? ;¿Te gustaría volver a utilizar el sistema con la frecuencia que lo hacías antes?
8/7/2018 11:12:16;Femenino;;25;Estudiante;;Ha disminuido;;;;;;;;;;;;;;;;;;;;;;;;;;;Costo elevado;;Ninguno en particular (uso distintos modos);Sí;Sí;Sí
8/7/2018 11:12:23;Masculino;;34;Trabajador en relación de dependencia;;Me inscribí recientemente (en los últimos 6 meses);Bueno;;;;Buena;;;;Bueno;;;;Buenas;Buenos;Sí;Muy útil;No;Suficiente;Suficiente;Ahorro de dinero, Cuido mi salud, Protección del ambiente;Uso recreativo/ deportivo (sin destino específico);A pie;Sí;Sí;9;9;;;;;;
8/7/2018 11:12:40;Femenino;;25;Estudiante;;Me inscribí recientemente (en los últimos 6 meses);Regular;Problemas para regular el asiento, Hace ruido al andar;;;Buena;;;;Bueno;;;;Buenas;Buenos;Sí;Algo útil;Sí;Suficiente;Suficiente;Ahorro de dinero, Cuido mi salud, Protección del ambiente;Actividades sociales;Colectivo;Sí;No;7;7;;;;;;
8/7/2018 11:12:44;Femenino;;62;Jubilado/ Pensionado;;Me inscribí recientemente (en los últimos 6 meses);Bueno;;;;Buena;;;;Bueno;;;;Buenas;Buenos;Sí;Algo útil;No;No sabe/No contesta;No sabe/No contesta;Cuido mi salud;Otro;Auto como conductor;No;No;6;6;;;;;;
8/7/2018 11:12:50;Femenino;;30;Ama/o de casa (trabaja en tareas de su hogar);;He dejado de usarlo;;;;;;;;;;;;;;;;;;;;;;;;;;;No me siento seguro andando en bici, en relación a las condiciones del tránsito en la ciudad;;A pie;Sí;No;Sí
8/7/2018 11:13:22;Femenino;;33;Trabajador en relación de dependencia;;Ha sido constante;Bueno;;;;Buena;;;;Bueno;;;;Muy buenas;Muy buenos;Sí;Muy útil;Sí;Suficiente;Suficiente;Comodidad;Ir/volver al trabajo;Auto como conductor;No;No;9;9;;;;;;
8/7/2018 11:13:32;Femenino;;32;Trabajador independiente;;Ha sido constante;Bueno;;;;Buena;;;;Regular;Problemas al leer la tarjeta, Problemas para liberar la bici, Anclajes rotos;;;Buenas;Buenos;Sí;Muy útil;No;Insuficiente;Suficiente;Protección del ambiente, Comodidad;La uso para todas mis actividades;Bici propia;No;No;6;7;;;;;;
8/7/2018 11:13:32;Masculino;;34;Trabajador en relación de dependencia;;Me inscribí recientemente (en los últimos 6 meses);Muy bueno;;;;Muy buena;;;;Bueno;;;;Muy buenas;Muy buenos;Sí;Muy útil;Sí;Suficiente;Suficiente;Ahorro de tiempo;Ir/volver al trabajo;Auto como conductor;Sí;No;8;8;;;;;;
8/7/2018 11:13:35;Femenino;;35;Trabajador en relación de dependencia;;Ha aumentado;Bueno;;;;Buena;;;;Bueno;;;;Buenas;Buenos;Sí;Muy útil;No;Suficiente;Suficiente;Ahorro de tiempo;Ir de compras/ gastronomía;Colectivo;No;No;8;8;;;;;;
8/7/2018 11:13:36;Femenino;;20;Estudiante;;Me inscribí recientemente (en los últimos 6 meses);Muy bueno;;;;Buena;;;;Muy bueno;;;;Muy buenas;Buenos;Sí;Muy útil;No;Suficiente;Suficiente;Otro;Ir/ volver de mi lugar de estudio;Colectivo;No;No;10;10;;;;;;
8/7/2018 11:13:40;Femenino;;38;Estudiante;;Ha sido constante;Muy bueno;;;;Muy buena;;;;Muy bueno;;;;Muy buenas;Muy buenos;Sí;Muy útil;Sí;Suficiente;Suficiente;Ahorro de dinero;Ir/ volver de mi lugar de estudio;Colectivo;No;Sí;10;10;;;;;;
8/7/2018 11:14:08;Masculino;;20;Estudiante;;Ha sido constante;Bueno;;;;Buena;;;;Regular;Problemas para liberar la bici;;;Buenas;Buenos;Sí;Muy útil;No;Suficiente;Suficiente;Cuido mi salud, Protección del ambiente, Comodidad;Ir/ volver de mi lugar de estudio;A pie;Sí;No;8;7;;;;;;
8/7/2018 11:14:25;Masculino;;32;Trabajador en relación de dependencia;;Ha aumentado;Bueno;;;;Muy buena;;;;Bueno;;;;Muy buenas;Buenos;No;;Sí;Suficiente;Suficiente;Ahorro de tiempo;La uso para todas mis actividades;Moto/ Ciclomotor;Sí;Sí;6;6;;;;;;
8/7/2018 11:14:26;Femenino;;27;Trabajador en relación de dependencia;;Ha aumentado;Regular;Problemas para regular el asiento;;;Buena;;;;Muy bueno;;;;Muy buenas;Muy buenos;Sí;Algo útil;No;Suficiente;Insuficiente;Ahorro de dinero;Ir/ volver de mi lugar de estudio;Colectivo;Sí;Sí;8;8;;;;;;
8/31/2018 13:56:52;Masculino;;20;Estudiante;;Ha disminuido;;;;;;;;;;;;;;;;;;;;;;;;;;;Adquirí bici propia;;Colectivo;No;Sí;No sabe/ No contesta
8/7/2018 11:15:11;Masculino;;48;Trabajador independiente;;Ha disminuido;;;;;;;;;;;;;;;;;;;;;;;;;;;No me siento seguro andando en bici, ya que temo sufrir un robo;;Auto como conductor;Sí;No;Sí
8/7/2018 11:15:38;Femenino;;29;Trabajador en relación de dependencia;;Ha aumentado;Muy bueno;;;;Buena;;;;Muy bueno;;;;Muy buenas;Muy buenos;Sí;Muy útil;No;Suficiente;Suficiente;Ahorro de tiempo, Ahorro de dinero;Ir/volver al trabajo;Colectivo;No;Sí;10;9;;;;;;
8/7/2018 11:15:55;Femenino;;25;Estudiante;;Ha sido constante;Bueno;;;;Buena;;;;Bueno;;;;Buenas;Buenos;Sí;Muy útil;No;Suficiente;Suficiente;Ahorro de dinero;Uso recreativo/ deportivo (sin destino específico);Colectivo;Sí;No;8;9;;;;;;
8/7/2018 11:15:56;Femenino;;18;Estudiante;;Me inscribí recientemente (en los últimos 6 meses);Bueno;;;;Buena;;;;Bueno;;;;Buenas;Buenos;Sí;Algo útil;Sí;Suficiente;Suficiente;Ahorro de tiempo;Ir/ volver de mi lugar de estudio;Colectivo;Sí;No;8;8;;;;;;
8/7/2018 11:16:07;Masculino;;45;Trabajador independiente;;Ha aumentado;Muy bueno;;;;Buena;;;;Muy bueno;;;;Buenas;Muy buenos;Sí;Muy útil;No;Suficiente;Suficiente;Ahorro de tiempo;Ir/volver al trabajo;Colectivo;No;No;8;10;;;;;;
8/7/2018 11:16:08;Masculino;;23;Estudiante;;Ha aumentado;Bueno;;;;Muy buena;;;;Bueno;;;;Buenas;Regulares;No;;No;Suficiente;Suficiente;Ahorro de tiempo, Cuido mi salud, Protección del ambiente, Comodidad;Ir/ volver de mi lugar de estudio;Colectivo;No;No;7;7;;;;;;
8/7/2018 11:16:35;Masculino;;31;Trabajador en relación de dependencia;;Ha sido constante;Bueno;;;;Buena;;;;Bueno;;;;Buenas;Buenos;Sí;Muy útil;No;Suficiente;Suficiente;Ahorro de tiempo, Comodidad;Ir/volver al trabajo;Bici propia;Sí;No;8;9;;;;;;
8/7/2018 11:16:43;Masculino;;31;Trabajador independiente;;Ha sido constante;Bueno;;;;Buena;;;;Regular;Estaciones frecuentemente fuera de servicio, Problemas al leer la tarjeta, Problemas al utilizar el teclado, Problemas para liberar la bici;;;Muy buenas;Muy buenos;Sí;Muy útil;No;Suficiente;Suficiente;Ahorro de tiempo, Ahorro de dinero, Comodidad;La uso para todas mis actividades;Colectivo;Sí;No;9;9;;;;;;
8/7/2018 11:16:50;Masculino;;23;Estudiante;;Ha disminuido;;;;;;;;;;;;;;;;;;;;;;;;;;;Adquirí bici propia;;Bici propia;Sí;No;No
8/7/2018 11:17:03;Femenino;;21;Estudiante;;Ha disminuido;;;;;;;;;;;;;;;;;;;;;;;;;;;No me siento seguro andando en bici, en relación a las condiciones del tránsito en la ciudad;;Ninguno en particular (uso distintos modos);No;No;Sí
8/7/2018 11:17:14;Femenino;;36;Estudiante;;Me inscribí recientemente (en los últimos 6 meses);Bueno;;;;Muy buena;;;;Regular;Estaciones frecuentemente fuera de servicio;;;Muy buenas;Muy buenos;Sí;Muy útil;No;Suficiente;Suficiente;Cuido mi salud, Protección del ambiente, Comodidad;La uso para todas mis actividades;Bici propia;Sí;Sí;10;9;;;;;;
8/7/2018 11:17:32;Femenino;;27;Trabajador en relación de dependencia;;Ha aumentado;Bueno;;;;Buena;;;;Bueno;;;;Muy buenas;Muy buenos;Sí;Algo útil;No;Suficiente;Suficiente;Ahorro de tiempo, Ahorro de dinero, Cuido mi salud, Protección del ambiente;Otro;Colectivo;No;No;6;7;;;;;;
8/7/2018 10:45:12;Femenino;;20;Estudiante;;Ha disminuido;;;;;;;;;;;;;;;;;;;;;;;;;;;Ninguna estación me queda cerca de mis actividades;;A pie;Sí;No;Sí
8/7/2018 11:18:05;Femenino;;45;Ama/o de casa (trabaja en tareas de su hogar);;Ha sido constante;Regular;Problemas para regular el asiento, Pedales dañados, Hace ruido al andar;;;Regular;Bici muy pesada;;;Regular;Problemas para liberar la bici, Problemas al anclar la bici;;;Buenas;Buenos;No;;No;Suficiente;No sabe/No contesta;Ahorro de dinero, Otro;Actividades sociales;Colectivo;No;Sí;5;7;;;;;;
8/7/2018 11:18:19;Masculino;;42;Trabajador independiente;;Ha aumentado;Bueno;;;;Buena;;;;Regular;Problemas para liberar la bici;;;Muy buenas;Muy buenos;Sí;Muy útil;Sí;Suficiente;Suficiente;Ahorro de tiempo, Comodidad;Actividades sociales;Auto como conductor;Sí;No;9;7;;;;;;
8/7/2018 11:18:21;Masculino;;34;Trabajador en relación de dependencia;;Me inscribí recientemente (en los últimos 6 meses);Bueno;;;;Muy buena;;;;Regular;Problemas para liberar la bici;;;Buenas;Muy buenos;Sí;Muy útil;No;Suficiente;Suficiente;Ahorro de tiempo, Ahorro de dinero, Cuido mi salud, Protección del ambiente, Comodidad;Ir/volver al trabajo;Ninguno en particular (usaba distintos modos);No;No;10;9;;;;;;
8/7/2018 11:18:30;Femenino;;26;Trabajador en relación de dependencia;;Ha disminuido;;;;;;;;;;;;;;;;;;;;;;;;;;;Adquirí bici propia;;Ninguno en particular (uso distintos modos);No;Sí;No
8/7/2018 11:18:34;Masculino;;45;Trabajador en relación de dependencia;;Ha disminuido;;;;;;;;;;;;;;;;;;;;;;;;;;;Otros motivos;;Auto como conductor;Sí;No;Sí
8/7/2018 11:18:50;Femenino;;36;Trabajador en relación de dependencia;;Ha disminuido;;;;;;;;;;;;;;;;;;;;;;;;;;;Ninguna estación me queda cerca de mis actividades;;Colectivo;No;No;Sí
8/7/2018 11:18:57;Masculino;;42;Trabajador en relación de dependencia;;Ha aumentado;Muy bueno;;;;Muy buena;;;;Muy bueno;;;;Muy buenas;Muy buenos;Sí;Algo útil;No;Suficiente;Suficiente;Ahorro de dinero;La uso para todas mis actividades;Auto como conductor;Sí;Sí;10;10;;;;;;
8/7/2018 11:19:22;Masculino;;66;Jubilado/ Pensionado;;Me inscribí recientemente (en los últimos 6 meses);Regular;Problemas para regular el asiento, Ausencia o mal funcionamiento de luces, Pedales dañados, No funciona el timbre;;;Buena;;;;Regular;Problemas para liberar la bici, Problemas al anclar la bici, Anclajes rotos, Falta de bicis disponibles o espacios para devolución;;;Buenas;Buenos;Sí;Muy útil;No;Insuficiente;Insuficiente;Ahorro de tiempo, Ahorro de dinero, Comodidad;La uso para todas mis actividades;Auto como conductor;Sí;No;9;5;;;;;;
8/7/2018 11:19:23;Femenino;;21;Estudiante;;Me inscribí recientemente (en los últimos 6 meses);Bueno;;;;Buena;;;;Muy bueno;;;;Muy buenas;Muy buenos;Sí;Muy útil;No;Suficiente;Suficiente;Ahorro de tiempo, Cuido mi salud, Comodidad;Ir/ volver de mi lugar de estudio;Colectivo;No;Sí;8;10;;;;;;
8/7/2018 11:19:23;Masculino;;31;Trabajador en relación de dependencia;;Ha aumentado;Bueno;;;;Buena;;;;Muy bueno;;;;Muy buenas;Muy buenos;No;;No;Suficiente;Suficiente;Comodidad;Ir/volver al trabajo;Colectivo;Sí;Sí;8;10;;;;;;
8/7/2018 11:19:49;Femenino;;41;Trabajador independiente;;Me inscribí recientemente (en los últimos 6 meses);Bueno;;;;Buena;;;;Bueno;;;;Regulares;Buenos;Sí;Muy útil;Sí;Suficiente;Suficiente;Ahorro de dinero, Protección del ambiente, Comodidad;Uso recreativo/ deportivo (sin destino específico);Auto como conductor;No;Sí;8;7;;;;;;
8/7/2018 11:19:53;Masculino;;28;Trabajador independiente;;Ha aumentado;Muy bueno;;;;Buena;;;;Bueno;;;;Muy buenas;Muy buenos;Sí;Muy útil;Sí;Suficiente;Suficiente;Ahorro de tiempo, Cuido mi salud, Protección del ambiente;La uso para todas mis actividades;Colectivo;Sí;No;10;9;;;;;;
8/7/2018 11:21:24;Femenino;;39;Desocupado;;He dejado de usarlo;;;;;;;;;;;;;;;;;;;;;;;;;;;Otros motivos;;Colectivo;No;Sí;No sabe/ No contesta
8/7/2018 11:21:30;Masculino;;37;Trabajador independiente;;Ha sido constante;Bueno;;;;Buena;;;;Bueno;;;;Buenas;Buenos;No;;No;Suficiente;Suficiente;Comodidad;Ir/volver al trabajo;Auto como acompañante;No;Sí;7;8;;;;;;
8/7/2018 11:21:48;Femenino;;35;Trabajador en relación de dependencia;;Ha aumentado;Bueno;;;;Buena;;;;Bueno;;;;Regulares;Buenos;Sí;Muy útil;No;Suficiente;Insuficiente;Ahorro de tiempo, Ahorro de dinero, Comodidad;Ir/volver al trabajo;Colectivo;Sí;Sí;9;8;;;;;;
8/7/2018 11:21:51;Masculino;;32;Trabajador independiente;;Ha aumentado;Muy bueno;;;;Buena;;;;Muy bueno;;;;Muy buenas;Muy buenos;Sí;Algo útil;Sí;Suficiente;Suficiente;Ahorro de tiempo, Cuido mi salud, Comodidad;Actividades sociales;Ninguno en particular (usaba distintos modos);No;No;9;8;;;;;;
8/7/2018 11:22:11;Femenino;;21;Estudiante;;Ha disminuido;;;;;;;;;;;;;;;;;;;;;;;;;;;Condiciones climáticas;;Colectivo;No;Sí;Sí
8/7/2018 11:22:50;Masculino;;35;Trabajador en relación de dependencia;;Ha aumentado;Regular;Neumáticos desinflados, Problemas para regular el asiento, Pedales dañados, Hace ruido al andar;;;Muy buena;;;;Bueno;;;;Muy buenas;Muy buenos;Sí;Muy útil;No;Suficiente;Insuficiente;Ahorro de tiempo, Ahorro de dinero, Comodidad;La uso para todas mis actividades;A pie;No;No;9;6;;;;;;
8/7/2018 11:23:10;Femenino;;36;Trabajador en relación de dependencia;;He dejado de usarlo;;;;;;;;;;;;;;;;;;;;;;;;;;;Costo elevado;;Colectivo;No;No;Sí
8/7/2018 13:16:33;Femenino;;20;Estudiante;;Ha aumentado;Muy bueno;;;;Muy buena;;;;Muy bueno;;;;Muy buenas;Muy buenos;No;;No;Suficiente;Suficiente;Protección del ambiente;Actividades sociales;Colectivo;Sí;No;10;10;;;;;;
8/7/2018 11:23:22;Femenino;;29;Trabajador independiente;;Ha aumentado;Muy bueno;;;;Buena;;;;Bueno;;;;Muy buenas;Muy buenos;Sí;Muy útil;Sí;No sabe/No contesta;Suficiente;Protección del ambiente;Actividades sociales;Colectivo;No;No;9;9;;;;;;
8/7/2018 11:23:43;Femenino;;22;Trabajador en relación de dependencia;;He dejado de usarlo;;;;;;;;;;;;;;;;;;;;;;;;;;;Ninguna estación me queda cerca de mis actividades;;Colectivo;Sí;No;Sí
8/7/2018 11:23:55;Femenino;;24;Estudiante;;Ha disminuido;;;;;;;;;;;;;;;;;;;;;;;;;;;Condiciones climáticas;;Colectivo;Sí;No;Sí
8/7/2018 11:24:06;Masculino;;39;Trabajador en relación de dependencia;;Me inscribí recientemente (en los últimos 6 meses);Regular;Neumáticos desinflados, Problemas para regular el asiento, Ausencia o mal funcionamiento de luces;;;Buena;;;;Regular;Problemas para liberar la bici, Otro;;;Muy buenas;Muy buenos;Sí;Muy útil;No;Suficiente;Suficiente;Ahorro de tiempo, Comodidad;Otro;Auto como conductor;No;No;8;7;;;;;;
8/31/2018 20:09:47;Femenino;;21;Estudiante;;Ha sido constante;Bueno;;;;Muy buena;;;;Muy bueno;;;;Muy buenas;Muy buenos;Sí;Algo útil;Sí;Insuficiente;Insuficiente;Ahorro de tiempo, Ahorro de dinero;Uso recreativo/ deportivo (sin destino específico);Colectivo;Sí;Sí;8;9;;;;;;
8/7/2018 11:24:32;Masculino;;30;Trabajador independiente;;Ha disminuido;;;;;;;;;;;;;;;;;;;;;;;;;;;Deficiencias del sistema;Estaciones frecuentemente fuera de servicio;Auto como conductor;No;Sí;Sí
8/7/2018 11:24:54;Masculino;;31;Trabajador en relación de dependencia;;Ha sido constante;Bueno;;;;Muy buena;;;;Regular;Problemas al leer la tarjeta, Problemas para liberar la bici;;;Muy buenas;Muy buenos;Sí;Muy útil;No;Suficiente;Suficiente;Ahorro de tiempo, Ahorro de dinero, Cuido mi salud, Comodidad;Ir/ volver de mi lugar de estudio;Ninguno en particular (usaba distintos modos);Sí;No;8;9;;;;;;
8/7/2018 11:25:11;Masculino;;29;Estudiante;;Ha disminuido;;;;;;;;;;;;;;;;;;;;;;;;;;;Adquirí bici propia;;Bici propia;No;No;Sí
8/7/2018 11:25:27;Masculino;;24;Estudiante;;Ha sido constante;Bueno;;;;Buena;;;;Bueno;;;;Buenas;Buenos;Sí;Muy útil;No;No sabe/No contesta;No sabe/No contesta;Cuido mi salud, Protección del ambiente, Comodidad;Ir/ volver de mi lugar de estudio;Ninguno en particular (usaba distintos modos);Sí;Sí;8;8;;;;;;
8/7/2018 11:25:36;Femenino;;23;Trabajador independiente;;Me inscribí recientemente (en los últimos 6 meses);Regular;Mal funcionamiento mecánico, Pedales dañados, No funciona el timbre, Hace ruido al andar;;;Buena;;;;Bueno;;;;Buenas;Regulares;Sí;Muy útil;Sí;No sabe/No contesta;No sabe/No contesta;Comodidad;Uso recreativo/ deportivo (sin destino específico);Colectivo;No;No;7;6;;;;;;
8/7/2018 11:25:48;Femenino;;31;Trabajador en relación de dependencia;;He dejado de usarlo;;;;;;;;;;;;;;;;;;;;;;;;;;;No me siento seguro andando en bici, en relación a las condiciones del tránsito en la ciudad;;Colectivo;No;No;Sí
8/7/2018 11:26:00;Femenino;;38;Desocupado;;Me inscribí recientemente (en los últimos 6 meses);Muy bueno;;;;Muy buena;;;;Muy bueno;;;;Muy buenas;Muy buenos;No;;No;Suficiente;Suficiente;Comodidad;Uso recreativo/ deportivo (sin destino específico);Colectivo;No;No;10;10;;;;;;
8/7/2018 11:26:03;Masculino;;23;Trabajador independiente;;Ha sido constante;Regular;Neumáticos desinflados, Problemas para regular el asiento;;;Mala;;Otro;;Malo;;Estaciones frecuentemente fuera de servicio, Problemas para liberar la bici;;Muy buenas;Muy buenos;Sí;Muy útil;No;Suficiente;Suficiente;Ahorro de dinero;Actividades sociales;Colectivo;Sí;No;8;6;;;;;;
8/7/2018 11:26:06;Masculino;;26;Estudiante;;He dejado de usarlo;;;;;;;;;;;;;;;;;;;;;;;;;;;Costo elevado;;Colectivo;No;No;Sí
8/7/2018 11:26:26;Masculino;;26;Trabajador en relación de dependencia;;He dejado de usarlo;;;;;;;;;;;;;;;;;;;;;;;;;;;Adquirí bici propia;;Colectivo;No;No;No sabe/ No contesta
8/7/2018 11:26:57;Femenino;;37;Desocupado;;Ha aumentado;Bueno;;;;Buena;;;;Bueno;;;;Muy buenas;Buenos;Sí;Muy útil;No;Suficiente;Insuficiente;Ahorro de dinero;Otro;Auto como conductor;Sí;Sí;6;8;;;;;;
8/7/2018 11:27:04;Femenino;;56;Trabajador en relación de dependencia;;Me inscribí recientemente (en los últimos 6 meses);Bueno;;;;Buena;;;;Regular;Estaciones frecuentemente fuera de servicio, Problemas para liberar la bici;;;Regulares;Buenos;No;;No;Insuficiente;No sabe/No contesta;Ahorro de dinero;Uso recreativo/ deportivo (sin destino específico);Colectivo;No;No;6;6;;;;;;
8/21/2018 8:53:52;Femenino;;22;Estudiante;;He dejado de usarlo;;;;;;;;;;;;;;;;;;;;;;;;;;;No me siento seguro andando en bici, porque creo que me expongo a sufrir acoso callejero;;Colectivo;No;No;Sí
8/7/2018 11:28:04;Masculino;;43;Trabajador en relación de dependencia;;Ha aumentado;Muy bueno;;;;Muy buena;;;;Bueno;;;;Buenas;Muy buenos;Sí;Muy útil;Sí;Suficiente;Insuficiente;Ahorro de tiempo, Ahorro de dinero, Cuido mi salud, Protección del ambiente, Comodidad;La uso para todas mis actividades;A pie;Sí;No;8;8;;;;;;
8/7/2018 11:28:07;Masculino;;28;Trabajador en relación de dependencia;;Me inscribí recientemente (en los últimos 6 meses);Bueno;;;;Regular;Se debe pedalear mucho para avanzar, Tipo de asiento, Diseño general deficiente;;;Bueno;;;;Malas;Regulares;Sí;Poco útil;No;Suficiente;Suficiente;Ahorro de dinero;Uso recreativo/ deportivo (sin destino específico);A pie;Sí;No;8;8;;;;;;
8/7/2018 11:28:13;Masculino;;33;Trabajador en relación de dependencia;;Ha disminuido;;;;;;;;;;;;;;;;;;;;;;;;;;;Otros motivos;;Auto como acompañante;Sí;No;No sabe/ No contesta
8/7/2018 11:28:17;Masculino;;20;Estudiante;;Me inscribí recientemente (en los últimos 6 meses);Bueno;;;;Regular;Diseño general deficiente;;;Muy bueno;;;;Buenas;Buenos;No;;No;Suficiente;Suficiente;Ahorro de dinero, Cuido mi salud, Protección del ambiente;Otro;Auto como acompañante;No;No;7;10;;;;;;
8/7/2018 11:28:20;Masculino;;32;Estudiante;;Ha sido constante;Muy bueno;;;;Buena;;;;Muy bueno;;;;Muy buenas;Muy buenos;Sí;Muy útil;No;Suficiente;Suficiente;Ahorro de tiempo, Ahorro de dinero, Cuido mi salud, Protección del ambiente, Comodidad;Ir/ volver de mi lugar de estudio;Ninguno en particular (usaba distintos modos);No;Sí;8;9;;;;;;
8/7/2018 11:28:26;Femenino;;23;Estudiante;;Ha sido constante;Muy bueno;;;;Buena;;;;Regular;Problemas al leer la tarjeta;;;Muy buenas;Buenos;Sí;Muy útil;Sí;Suficiente;Suficiente;Ahorro de dinero, Cuido mi salud;Otro;Colectivo;Sí;No;3;5;;;;;;
8/7/2018 11:28:44;Masculino;;21;Estudiante;;Ha sido constante;Bueno;;;;Muy buena;;;;Bueno;;;;Muy buenas;Buenos;Sí;Muy útil;No;No sabe/No contesta;No sabe/No contesta;Ahorro de tiempo, Ahorro de dinero, Comodidad;Ir/volver al trabajo;Colectivo;No;No;8;8;;;;;;
8/7/2018 11:29:11;Masculino;;21;Estudiante;;Me inscribí recientemente (en los últimos 6 meses);Bueno;;;;Buena;;;;Regular;Estaciones frecuentemente fuera de servicio, Problemas para liberar la bici, Problemas al anclar la bici;;;Buenas;Buenos;Sí;Muy útil;No;Insuficiente;Suficiente;Ahorro de dinero, Cuido mi salud, Protección del ambiente;La uso para todas mis actividades;A pie;Sí;No;8;7;;;;;;
8/7/2018 11:29:20;Femenino;;57;Trabajador independiente;;Ha disminuido;;;;;;;;;;;;;;;;;;;;;;;;;;;Deficiencias del sistema;Estaciones frecuentemente fuera de servicio;Ninguno en particular (uso distintos modos);No;No;Sí
8/7/2018 11:29:21;Femenino;;27;Trabajador en relación de dependencia;;Ha sido constante;Bueno;;;;Buena;;;;Bueno;;;;Muy buenas;Regulares;Sí;Muy útil;No;Suficiente;Suficiente;Ahorro de tiempo, Ahorro de dinero;Ir/ volver de mi lugar de estudio;Ninguno en particular (usaba distintos modos);No;No;10;8;;;;;;
8/7/2018 11:29:51;Masculino;;29;Trabajador en relación de dependencia;;Ha sido constante;Regular;Problemas para regular el asiento, Pedales dañados, Hace ruido al andar;;;Muy buena;;;;Bueno;;;;Muy buenas;Buenos;No;;Sí;Suficiente;Insuficiente;Ahorro de tiempo, Ahorro de dinero, Cuido mi salud, Protección del ambiente, Comodidad;Actividades sociales;Colectivo;Sí;No;10;7;;;;;;
8/7/2018 11:30:10;Femenino;;27;Trabajador en relación de dependencia;;Ha aumentado;Regular;Problemas para regular el asiento, Ausencia o mal funcionamiento de luces, Hace ruido al andar;;;Buena;;;;Bueno;;;;Buenas;Buenos;Sí;Muy útil;No;Suficiente;Suficiente;Ahorro de dinero, Comodidad;Ir/volver al trabajo;Colectivo;Sí;No;8;7;;;;;;
8/7/2018 11:30:17;Masculino;;45;Trabajador en relación de dependencia;;He dejado de usarlo;;;;;;;;;;;;;;;;;;;;;;;;;;;Condiciones climáticas;;A pie;Sí;Sí;Sí
8/7/2018 11:30:45;Masculino;;31;Trabajador en relación de dependencia;;Ha aumentado;Bueno;;;;Buena;;;;Bueno;;;;Regulares;Buenos;Sí;Muy útil;No;Suficiente;Suficiente;Ahorro de tiempo, Ahorro de dinero, Cuido mi salud;Ir/volver al trabajo;Colectivo;Sí;Sí;8;7;;;;;;
8/7/2018 11:30:48;Masculino;;35;Trabajador en relación de dependencia;;He dejado de usarlo;;;;;;;;;;;;;;;;;;;;;;;;;;;Costo elevado;;A pie;No;Sí;Sí
8/7/2018 11:30:53;Femenino;;35;Trabajador en relación de dependencia;;Me inscribí recientemente (en los últimos 6 meses);Bueno;;;;Buena;;;;Bueno;;;;Buenas;Muy buenos;Sí;Muy útil;Sí;Insuficiente;Suficiente;Ahorro de tiempo;Ir/volver al trabajo;Colectivo;Sí;Sí;7;8;;;;;;
8/7/2018 11:31:00;Masculino;;26;Trabajador en relación de dependencia;;Ha disminuido;;;;;;;;;;;;;;;;;;;;;;;;;;;Ninguna estación me queda cerca de mis actividades;;Colectivo;Sí;No;Sí
8/7/2018 11:31:13;Masculino;;30;Trabajador en relación de dependencia;;Ha aumentado;Bueno;;;;Buena;;;;Bueno;;;;Muy buenas;Buenos;Sí;Muy útil;No;Suficiente;Suficiente;Ahorro de tiempo, Ahorro de dinero, Comodidad;Ir/volver al trabajo;Colectivo;Sí;No;8;7;;;;;;
